song,artist,genre,energy,danceability,loudness,is_new_artist
mohabbat bhi jhoothi,mukesh,Pop,0.1371101880258922,0.3577385465179248,0.4541189139296976,False
i believe,frankie laine,Pop,0.2632402533492537,0.3317448283331528,0.64753993282568,False
cry,johnnie ray,Pop,0.1391122525548345,0.4562980613018521,0.585288311155552,False
patricia,pérez prado,Pop,0.7437357402953926,0.6869923101917037,0.7444042765941081,False
apopse eida oneiro,giorgos papadopoulos,Pop,0.3943754799949707,0.2916711794649627,0.6464887316360279,False
round and round (with mitchell ayres and his orchestra & the ray charles singers),perry como,Pop,0.5495354809879948,0.689158453373768,0.6855882880804041,False
opm medley: when i met you,freestyle,Pop,0.486470448326314,0.3685692624282465,0.63369484398636,False
it's not for me to say,johnny mathis,Pop,0.192166962571804,0.3793999783385682,0.529420813783555,False
klapse me mana klapse me,stélios kazantzídis,Pop,0.4003816735817975,0.4963717101700423,0.6661795246519497,False
finito la mouzika,stélios kazantzídis,Pop,0.413395093019922,0.6620816635979638,0.6431300156398225,False
"drømmer man om den, vågner..",liva weel,Pop,0.3403197377135301,0.6252572295028702,0.5331128374740404,False
carolina moon,the chordettes,Pop,0.1110833491496431,0.2656774612801906,0.6222598261672179,False
necessary evil,frankie laine,Pop,0.1531267042574302,0.5223654283548144,0.528728559341589,False
kanugona galano,ghantasala,Pop,0.6025901910049642,0.4692949203942381,0.7456605902110094,False
the carioca,les paul,Pop,0.6426314815838092,0.5505252897216506,0.6824090454580416,False
chicken reel,les paul,Pop,0.5215065775828034,0.6360879454131919,0.6403353588185523,False
blue skies,les paul,Pop,0.2842619309031472,0.6350048738221598,0.6048765479578493,False
dark eyes,les paul,Pop,0.2912691567544451,0.6025127260911947,0.5772376483860215,False
kotha mukunda,asha bhosle,Pop,0.2882660599610318,0.3793999783385682,0.5420608671127861,False
awaz deta hai sola ka din,asha bhosle,Pop,0.2402165112664178,0.4996209249431388,0.6737430454067636,False
jahan men log sachhe ashikon ko,mohammed rafi,Pop,0.2522288984400713,0.5407776454023612,0.6615132169320308,False
avanee nee pathi,ghantasala,Pop,0.3433228345069434,0.3631539044730857,0.4717329436197215,False
ee jagamantha natika,ghantasala,Pop,0.3993806413173263,0.4400519874363695,0.6060046663077199,False
smoke rings,les paul,Pop,0.3763568992344905,0.4324704862991444,0.6653077968361407,False
hum tujhse mohabbat kar ke,mukesh,Pop,0.1991741884231018,0.701072240875122,0.7070738148347562,False
paas nahin aaiye haath na lagaiye,lata mangeshkar,Pop,0.5415272228722259,0.4487165601646269,0.6552316488475245,False
main na janoon,lata mangeshkar,Pop,0.3353145763911745,0.6100942272284199,0.6140296900238442,False
gullyachi shapath,asha bhosle,Pop,0.4524353513342958,0.7768872522473736,0.6233366664102761,False
judai ki khabar hoti agar,lata mangeshkar,Pop,0.1821566399270928,0.4357197010722409,0.5248057841704483,False
maagata maagata janm gele,lata mangeshkar,Pop,0.2842619309031472,0.3848153362937291,0.5545727251749865,False
chupke chupke (from ''paying guest''),lata mangeshkar,Pop,0.4914756096486696,0.5862666522257122,0.7371997025869804,False
chahe kitna mujhe tum bulao ji,asha bhosle,Pop,0.2051803820099286,0.5418607169933933,0.564341204522729,False
tu bol na bol,asha bhosle,Pop,0.5044890290867943,0.5104516408534604,0.6260031279645155,False
raat andheri door savera,mukesh,Pop,0.1501236074640168,0.4898732806238492,0.3858933928159372,False
thunintha pin,ghantasala,Pop,0.4754590934171316,0.3404094010614102,0.6407455836730507,False
i'm sitting on top of the world,les paul,Pop,0.550536513252466,0.7400628181522799,0.6384893469733097,False
the world is waiting for the sunrise,les paul,Pop,0.5595458036327059,0.6913245965558323,0.69007512242648,False
ethanai periya,t. m. soundararajan,Pop,0.5295148356985724,0.4497996317556592,0.7630182293669717,False
ansoo to nahin hai ankhon men,talat mahmood,Pop,0.168142188224497,0.3090003249214774,0.460067174319924,False
it's the most wonderful time of the year,andy williams,Pop,0.5545406423103503,0.1941947362720676,0.6556418737020229,False
chandan ka palna resham ko dori,lata mangeshkar,Pop,0.1411143170837767,0.4476334885735947,0.4999102633130783,False
le chal ri nindiya le chal hamen,lata mangeshkar,Pop,0.1701442527534393,0.4248889851619192,0.5110632515447529,False
after you've gone,frankie laine,Pop,0.3913723832015574,0.4909563522148814,0.5803399738481654,False
mere hamsafar tujhe kya khabar,asha bhosle,Pop,0.3363156086556456,0.4108090544785011,0.6742814655282927,False
viljen i veta (would you like to know?),sven-bertil taube,Pop,0.0335033486531311,0.6003465829091303,0.3138476527446605,False
blue velvet,bobby vinton,Pop,0.2582350920268981,0.4281381999350158,0.642694151731918,False
poema,los hermanos arriagada,Pop,0.3142928988372809,0.5472760749485542,0.5083711509371074,False
the bells of st. mary's,the drifters,Pop,0.2051803820099286,0.2819235351456731,0.6555393174883983,False
for me and my gal,the chordettes,Pop,0.0184878646860642,0.4996209249431388,0.3036689485424196,False
mark twain,harry belafonte,Pop,0.1801545753981505,0.5711036499512618,0.5559572340589185,False
the next big river,harry belafonte,Pop,0.3633434797963659,0.6772446658724143,0.625233956362331,False
sitaron ki mehfil saji,lata mangeshkar,Pop,0.2612381888203114,0.3566554749268927,0.5345229854113784,False
gopiparivrito,a. m. rajah,Pop,0.3022805116636274,0.4822917794866241,0.5372663641258364,False
you're the cream in my coffee,jonah jones,Pop,0.5415272228722259,0.630672587458031,0.7068687024075071,False
kabhi khamosh rahte hain,lata mangeshkar,Pop,0.2482247693821868,0.4736272067583668,0.5461631156577698,False
khanke to khanke,mohammed rafi,Pop,0.5525385777814081,0.5223654283548144,0.6256954593236417,False
here am i,johnnie ray,Pop,0.0739450521377644,0.3068341817394129,0.5754941927544035,False
brazil,les paul,Pop,0.4464291577474691,0.7703888227011806,0.638207317385842,False
"baby, won't you please come home",les paul,Pop,0.3022805116636274,0.6804938806455106,0.648411660641489,False
jezebel,frankie laine,Pop,0.3393187054490589,0.5472760749485542,0.6820244596569494,False
two hound dogs,bill haley & his comets,Pop,0.8488441280648604,0.5364453590382325,0.7045355485475475,False
sleep,les paul,Pop,0.3973785767883841,0.4216397703888228,0.5917493526139015,False
mera dil yeh pukare aaja,lata mangeshkar,Pop,0.1881628335139195,0.2591790317339976,0.5562905417531984,False
to you my love,ted heath,Pop,0.2952732858123296,0.5797682226795191,0.5014486065174473,False
believe in me,ted heath,Pop,0.102074058769403,0.2710928192353515,0.374637848370638,False
take the “a” train,ted heath,Pop,0.1781525108692083,0.5418607169933933,0.4400687126631284,False
pahuni raghunandan savala,lata mangeshkar,Pop,0.5064910936157365,0.4443842738004983,0.7068943414609132,False
come rock with me,bill haley & his comets,Pop,0.7477398693532771,0.7736380374742771,0.6720252288285515,False
